name,elo_Hard,elo_Clay,elo_Grass,matches_Hard,matches_Clay,matches_Grass,elo_overall
Magnus Larsson,1645.1787783463171,1618.1868722017575,1579.896880782678,186,157,40,1648.7030515226716
Kevin Anderson,1617.3885121627504,1709.935529088531,1733.5708758511255,426,112,76,1648.6509316024965
Greg Rusedski,1647.0215652825202,1487.3810271021075,1719.9821492767649,391,81,122,1646.3996998026594
Reilly Opelka,1674.3602998856402,1595.4002549739043,1484.7117588059018,141,32,15,1645.7887597081317
Thomas Johansson,1666.564036211204,1554.8733202953322,1628.6234095519258,361,107,78,1645.2151814719707
Alex Michelsen,1701.7604818973653,1493.1755952468052,1532.5509133786356,54,9,16,1643.727354351103
Nikolay Davydenko,1702.7365314194817,1569.1846658828183,1447.253186554045,435,305,30,1643.564638992728
Alejandro Davidovich Fokina,1670.1480646814623,1630.365760353494,1479.6521338199484,137,80,16,1643.4076387586226
Jakub Mensik,1688.222924980996,1578.0935118961163,1498.6041423787635,33,10,6,1642.5289081144206
Jean Julien Rojer,1651.7252007326138,1500.0,,13,1,0,1640.88768639457
Dominic Thiem,1669.7435394014344,1620.520254266842,1532.761121459004,292,241,33,1640.7979006920052
Stan Wawrinka,1647.396690549428,1646.332949037244,1575.0465533547426,548,313,70,1639.4389533656629
John Isner,1610.0050638246687,1712.612147996012,1709.3308097980323,575,149,85,1639.338987124132
Cedric Pioline,1642.7363485801347,1669.77302935194,1640.381954671494,259,184,75,1639.0521517968086
Yoshihito Nishioka,1665.82123143402,1578.119152554579,1430.6456963315632,223,47,15,1638.980421841492
Jose Acasuso,1550.176989113896,1689.4074695665845,1400.683502530335,110,247,8,1636.554273600649
Nicolas Jarry,1557.574577851684,1710.7140531239022,1529.3158467284084,91,119,18,1635.2716848568373
Jim Courier,1631.0007221461628,1639.1978449016628,1561.5414541720295,290,110,36,1633.122087785452
Guillermo Canas,1621.469298773727,1656.4728931835348,1621.0589865187708,177,210,44,1633.0401461796675
Carlos Moya,1607.6848477726974,1664.167842092433,1543.241876089669,356,482,28,1632.5794387040871
Sebastian Baez,1494.8879348976466,1731.6298622816607,1460.6200669740467,64,105,10,1631.844491859018
Sjeng Schalken,1643.2897507819353,1562.1850812171954,1729.4592021652172,287,140,77,1630.5175014354982
Flavio Cobolli,1688.6239254223135,1576.3402051243688,1480.7515713591508,44,28,7,1630.4080944503569
Felix Mantilla,1576.1998720503773,1671.6389132437648,1451.3487431751155,137,358,15,1630.3368936369222
Joachim Johansson,1683.8393754636447,1437.03068079602,1518.668907757478,97,17,12,1629.893451112742
Younes El Aynaoui,1642.4756206186407,1644.566144182383,1511.5561000546245,187,262,20,1629.7910755562882
Alex Molcan,1564.9689651100894,1697.4425522761553,1509.2912778235946,39,49,7,1629.1948804798974
Ivan Lendl,1639.5403365656955,1618.799890814337,1489.455287844886,91,45,8,1627.4690474415202
James Blake,1657.0488162474394,1571.849513098896,1530.435714773666,448,100,62,1627.3923139755063
Philipp Kohlschreiber,1626.0531336154083,1637.005304947462,1609.0850091767704,448,322,101,1626.5092490510287
Worapol Thongkamcho,1638.0485404989129,1481.8475055408323,,19,2,0,1623.1722514552862
Tomas Martin Etcheverry,1592.3654096927155,1665.3932619264792,1429.1897706427624,56,73,8,1621.7495564128992
Kyle Edmund,1655.681502155633,1580.2729560526273,1515.150327813288,160,56,31,1620.9473119273696
Mikael Ymer,1656.9613771811123,1536.8104139124507,1530.1130706181002,106,33,13,1620.0271023575267
Jerzy Janowicz,1652.9991167217238,1547.6078076010922,1578.803207261138,127,39,26,1619.386458542221
Borna Gojo,1635.675136744794,1506.8067320363104,1481.993417640511,37,3,2,1619.1520735939837
Jason Stoltenberg,1613.3742713958245,1686.6527667764071,1613.149872040676,233,91,74,1618.61795521358
Frank Ofori,1671.4658883944105,1454.271464318448,,17,4,0,1617.5164219884923
Marcos Baghdatis,1657.350918561508,1477.9168878301375,1562.5518844776873,426,88,95,1617.4578496563956
Gustavo Kuerten,1626.4577595865069,1617.3065617141065,1538.1697748585589,236,261,15,1617.1842749901327
Botic Van De Zandschulp,1641.1863829096617,1596.5164964502255,1503.722081110171,125,42,19,1617.0575820199488
Michael Mmoh,1646.6943487221367,1473.2963706735168,1499.2138271973374,57,9,4,1615.972864600183
Jerome Golmard,1666.5619361946533,1595.4503810067945,1497.067894024969,155,76,32,1614.38123009173
Goran Ivanisevic,1579.4397060950998,1466.254102690161,1726.8907665408422,282,145,83,1613.6354181126335
Cristian Garin,1556.9100644177372,1656.0370045561815,1557.2422495644278,89,143,19,1613.4099208224568
Alexander Bublik,1622.784240451476,1543.5295776972282,1645.9878088206558,197,53,52,1612.870625978702
Marcos Giron,1648.8259472983673,1507.91904577359,1575.8630366164443,151,41,31,1612.7764710936342
Thomas Enqvist,1620.6510232225044,1557.590447686522,1555.3502022839352,455,118,41,1612.18503143054
Karol Kucera,1661.9168168226645,1517.6658451058452,1578.8580953177857,223,158,62,1611.0674139213656
Andrei Medvedev,1557.698270434206,1665.478774665136,1491.7501144054029,155,246,34,1609.7716195517262
Gilles Muller,1603.195748312674,1578.835735373891,1666.4024248683709,294,61,81,1608.6648860657394
Dominik Koepfer,1653.1596978904176,1575.4840213651023,1469.5740352434825,77,41,15,1608.509414602884
Tommy Robredo,1658.74560574835,1569.9297730421265,1576.039343976374,412,395,56,1608.41306371633
Ricardo Rodriguez,1638.4032097340348,1516.1854288544744,,24,8,0,1607.8487645141447
Alejandro Tabilo,1600.995032062117,1636.4829057184638,1538.050034937146,53,46,14,1607.6429278890405
Wayne Ferreira,1598.2293749975,1676.585966062108,1613.7119298619998,438,148,96,1606.8613298525556
Ilya Ivashka,1645.6891025217087,1542.943955736268,1514.775484243802,116,39,23,1606.2617208080906
Marton Fucsovics,1595.5319464175916,1639.7127240763596,1587.8857267632804,197,91,34,1605.7180827725558
Borna Coric,1594.0537127820426,1649.3293384815804,1511.5417047995504,269,124,26,1605.2920549758323
Flavio Saretta,1541.2894435057924,1648.474881434386,1518.3339186741348,42,98,12,1605.2143115250058
Julien Benneteau,1657.984168061035,1483.169466102542,1542.362500076287,356,112,76,1604.8575597283111
Yahiya Doumbia,1636.3955404553594,1500.0,,11,1,0,1604.5592440301266
Michael Llodra,1633.2536693689965,1545.6886537785529,1600.7240705505512,249,60,74,1604.4582977852629
Miomir Kecmanovic,1616.5814133144547,1607.656817093929,1509.1354547149713,185,76,32,1602.5317887822246
Fernando Meligeni,1572.3626167476057,1621.6371565079385,1466.4548409210652,107,292,7,1602.1988927552477
Vasek Pospisil,1643.0149074758992,1358.3922448219478,1485.0024087044053,244,20,48,1600.1392905379223
Fabian Marozsan,1633.3097414945094,1558.8886625082257,1470.4235608446668,47,19,6,1600.0969972634198
Mariano Zabaleta,1519.4875980968982,1646.645682778668,1447.6488888283632,134,270,5,1600.0453427927987
Nuno Borges,1593.251192587884,1642.6048137164182,1437.4237611229564,52,31,6,1599.9365596237828
Lucas Pouille,1638.0579931210298,1527.7937329332426,1585.278083394653,162,79,36,1599.751302489316
Franco Squillari,1558.6485164792502,1619.1895227879688,1447.3180906280536,69,239,7,1599.749191300094
Juan Ignacio Chela,1525.829136498882,1664.6615106399315,1432.8576774765156,244,332,15,1598.1755314015472
Martin Klizan,1584.7157884373544,1634.2870797231274,1438.1536047882637,154,132,17,1598.088241664046
Jurgen Melzer,1613.196901788545,1578.4005964229707,1616.0767700407037,357,238,74,1597.991310603961
Roman Safiullin,1631.4823622475756,1527.966235003029,1520.382790713027,73,21,13,1597.66803419071
Mark Philippoussis,1531.334616588528,1670.0671574443395,1724.6736922242128,302,93,74,1597.3199780202683
Takao Suzuki,1608.48425729192,1509.366944025305,1469.5890316291147,67,5,6,1597.2690211397637
Bu Yunchaokete,1602.4966364123657,1500.0,,17,1,0,1596.8023788339008
Taylor Dent,1618.7607404672349,1441.1437124125753,1564.0573612756257,214,16,52,1596.3938561412665
Andrey Kuznetsov,1597.3831197009893,1628.668069780862,1480.0171562652372,91,69,20,1596.3350212943012
Sebastien Grosjean,1528.8321710124678,1681.404146522074,1652.4368339661933,307,151,75,1595.862732708366
Paradorn Srichaphan,1627.727716528375,1355.9247163773225,1597.800056713712,324,47,45,1595.3691202160364
Dusan Lajovic,1544.689877812445,1658.3443852739947,1429.6195263897782,209,230,24,1595.1841505597722
Mauricio Hadad,1575.7067563962426,1618.248212533493,1458.377830597392,47,62,4,1594.0624390358732
Pierre Hugues Herbert,1617.190392370141,1541.9574826721405,1545.4880431705074,156,42,30,1593.8971788468734
Albert Costa,1592.7061153483412,1607.0669298965436,1461.0008649948038,210,412,9,1592.9174772125536
Filip Krajinovic,1603.953856608573,1574.9427798167983,1541.856285181021,168,78,11,1592.49106565347
Marko Tkalec,1528.201687569472,1644.5424652061313,1500.0,10,20,1,1592.420181359487
Nicolas Mahut,1591.04670940569,1495.4064446505236,1663.3094548361644,229,56,108,1591.953211165065
Yannick Hanfmann,1577.7350556034291,1613.857802122792,1501.4269282945745,40,96,17,1591.9216275093656
Marcelo Arevalo,1665.7248597874695,1451.5887980900598,,32,17,0,1591.4327567495927
Ricardas Berankis,1632.8380156872286,1466.857258906142,1453.7495051093406,217,43,26,1591.2829221948975
Febi Widhiyanto,1590.693450248517,,,23,0,0,1590.693450248517
Luis Horna,1482.0654061243315,1646.8018294182402,1435.888356852112,87,190,6,1589.559519713038
Francisco Rodriguez,1516.760311592726,1608.4787270486463,,4,15,0,1589.1695869526632
Javier Frana,1580.1372658350408,1622.0569673973828,1553.4738789890043,60,85,44,1588.174223899492
Gilles Simon,1636.8652373167574,1503.9364691228125,1566.9188883432514,528,269,96,1588.166249594146
Amos Mansdorf,1638.7950518203645,1466.5710706605516,1501.660697567291,117,15,12,1587.3383063059173
Aljaz Bedene,1599.8493705160868,1599.5647048875785,1493.307039877444,135,129,35,1587.2550446350497
Roberto Carballes Baena,1570.1206135437485,1609.3367774420103,1440.47834008112,78,170,17,1586.9614785016345
Laslo Djere,1595.6518492920825,1595.927044789062,1468.2466010616604,114,158,21,1586.6688140555088
Malivai Washington,1593.4421192897166,1579.3632093215138,1580.8665489062328,192,63,33,1586.4242152017323
Albert Montanes,1454.1998445598256,1633.6014715251592,1466.647657066064,124,399,19,1586.327340713625
Rinky Hijikata,1625.7531082815335,1466.859171088571,1513.0833770326044,44,6,14,1586.21029795899
Lorenzo Sonego,1583.2295909704508,1601.1760216354403,1556.5259551064291,154,106,38,1586.2080590498335
Simone Bolelli,1527.36153194795,1668.756625210626,1546.1385063907094,138,118,32,1586.1803525147743
Darian King,1604.2763373759117,1490.7512866997813,,42,8,0,1586.1123292677307
Christophe Van Garsse,1558.192131995849,1631.9656439079426,1522.543574396716,13,18,4,1586.104494830524
Nicolas Lapentti,1569.544135366266,1618.7717906515777,1480.7069306932303,230,324,30,1585.8982034900396
Adrian Mannarino,1616.5424280483958,1350.7185666163878,1615.8042932042868,451,76,121,1585.2277246765286
Mohammad Ghareeb,1584.032401228115,1588.049996000459,,34,9,0,1584.8732931572104
Juncheng Shang,1605.3310269836625,1472.7701939832766,1507.620424169584,51,6,5,1584.6226719502315
Mackenzie Mcdonald,1617.1821961874778,1428.4167293949015,1553.734927835051,168,29,33,1584.2780292630653
Frederico Gil,1571.3842092220725,1606.3563988852784,1439.4252630020692,49,84,8,1583.769916449776
Hyung Taik Lee,1589.208117284735,1600.4640004631965,1546.8563572913076,209,62,39,1583.6308808088131
Hicham Arazi,1628.9554331211912,1537.1047649896302,1555.365724157556,170,184,35,1583.2297381942324
Ryan Russell,1589.9902979568465,1500.0,,11,1,0,1582.4911064604428
Giovanni Mpetshi Perricard,1619.33514952363,1578.6356290882811,1497.1906738866835,19,7,8,1582.2159598723647
Victor Hanescu,1456.087508792221,1687.22245065821,1468.5230424315464,157,240,32,1581.5115068828277
Ramon Delgado,1546.9616505521242,1652.302844293954,1445.3009299517898,119,83,11,1581.1707079338582
Agustin Calleri,1553.1633764066962,1612.0615460297363,1452.277663009195,147,225,14,1580.7842394595102
Juan Balcells,1536.21160614342,1622.4425428952732,1466.5611885585638,35,50,3,1580.7282168958704
Thiago Monteiro,1510.2000475318418,1631.207984638264,1463.6936087826498,80,132,9,1580.5823540897827
Zhizhen Zhang,1564.2233790521932,1644.7213920771171,1489.9845504683246,64,36,14,1580.526755093624
Ernests Gulbis,1580.4536388744625,1590.8462551502969,1522.002908947274,282,146,39,1580.4075383894426
Arthur Rinderknech,1620.1414464794418,1532.2432606925004,1478.7036641164436,97,41,19,1580.070468886056
Ryan Harrison,1620.702041284937,1510.3484184778365,1434.1121591981005,200,42,37,1579.3447732021014
Leander Paes,1509.7138998927264,1539.7759710625833,1698.352640379518,88,11,66,1579.0889656426596
Yibing Wu,1609.050926763864,1516.2945962201993,1485.6162486212638,34,9,5,1578.8013358137391
Horacio Zeballos,1572.8872347542429,1603.240655260689,1374.020567146517,83,128,13,1578.690677369978
Alexander Shevchenko,1602.3277240579328,1545.079339518949,1488.6204738489478,54,28,4,1578.400005826218
Dmitry Tursunov,1593.9855387386294,1560.2212833682963,1527.8647429408732,295,74,67,1577.551106435605
Jan Siemerink,1586.160606352971,1490.4485733001247,1534.603352768199,227,83,54,1577.2636886505798
Arnaud Boetsch,1597.411770180002,1556.573527752368,1512.9362895410272,141,98,30,1576.6701541652517
Brett Steven,1550.4272802336618,1541.8793942848931,1662.613870219564,166,35,52,1576.6039391458048
Mariano Navone,1473.131321529046,1639.996526924167,1474.01647508221,13,26,3,1576.492054884585
Gabriel Diallo,1586.0932152349135,1500.0,1493.3835483632668,23,1,2,1575.650424889598
Owen Casey,1545.0919868312733,1499.263693206478,,4,3,0,1575.459695667184
Philipp Petzschner,1581.5642745159794,1519.6691341782132,1615.599958048757,113,43,40,1574.9312964893832
Hendrik Dreekmann,1665.8959389881088,1538.5158667403205,1471.3330514642312,92,61,30,1574.888788477423
Xavier Malisse,1559.9835948836485,1514.4635906082638,1716.6531041877165,334,117,80,1574.814808508296
Magnus Norman,1599.461017401478,1555.0524453034843,1491.9734719279877,199,180,15,1574.572409797587
Hamad Medjedovic,1628.001228709814,1533.1091373789336,1500.8425412142333,18,18,3,1574.4234413651322
Jack Sock,1561.6057182905492,1635.853300013421,1547.5833127567894,246,59,31,1573.349506237284
Kenneth Carlsen,1615.465221779707,1348.955825935118,1504.833997558922,322,55,68,1572.947925255683
Robin Haase,1595.6307999780854,1550.9663190489248,1530.3704282517726,272,175,56,1572.49004595962
Byron Black,1546.8098276526212,1484.4514809540392,1678.64030728829,305,40,88,1572.457176517838
Marinko Matosevic,1604.24032220635,1480.2252847432535,1518.5620604097116,112,27,20,1572.404025052662
Mikael Tillstrom,1598.465323742524,1571.0638674748352,1484.5865895757652,120,66,11,1572.2366089750772
Alex Corretja,1611.9793318928305,1565.2385003962063,1487.0988013459844,237,441,11,1572.0870663312974
Chris Woodruff,1598.9863266874456,1503.9158538945978,1509.201100206979,134,41,20,1571.9998408513882
Claude Ngoran,1597.779921105533,1553.8557448387503,,24,12,0,1571.913262879962
Sergio Galdos,,1571.8645194056496,,0,6,0,1571.8645194056496
Bernard Tomic,1597.1059433243067,1421.0913863772748,1626.598005070825,236,65,70,1571.8323533531454
Benjamin Bonzi,1603.0336901690384,1476.5478725299918,1538.5531788160606,71,17,18,1571.7987080537798
Lloyd Harris,1610.8653543054388,1449.3977091212987,1481.4441702808242,116,24,18,1571.5944378696008
Bryan Juinio,1571.2304075801278,,,8,0,0,1571.2304075801278
Jakob Hlasek,1571.640047162238,1596.5921097366045,1519.5129303703618,113,55,29,1570.8281906709271
Fabio Fognini,1512.1354508616512,1619.552936311169,1572.2665617514742,350,420,48,1570.7306911066416
Luciano Darderi,1436.3898886953712,1643.7942232321698,1474.9823706837392,15,34,5,1570.551180995241
Potito Starace,1480.3633630687004,1614.863827673594,1401.9200563103027,90,244,12,1570.1189646337798
Scott Draper,1626.4670696230205,1453.418476570945,1525.2337675824838,136,41,45,1569.9518146515063
Viktor Troicki,1556.663894150743,1624.955400478211,1525.542711128007,368,139,64,1569.800082707771
Guillermo Perez Roldan,1485.3061032590788,1571.3946056417076,,2,80,0,1569.2948860713996
Michael Chang,1540.4287564142678,1583.2375128248552,1556.4448705675973,461,125,38,1568.911834320293
John McEnroe,1604.2478660592903,1502.1827900835192,1576.5383090209425,22,5,10,1568.56294040426
David Sanchez,1411.721273162981,1617.6698095163129,1458.5306928517175,44,155,4,1568.4769451708964
Attila Balazs,1453.0258569084026,1613.816101883395,1500.0,12,39,1,1568.3416061608646
Sergi Bruguera,1553.100578757249,1592.883928047107,1540.8286868977164,147,309,7,1567.3797908518538
Benjamin Lock,1572.7933524543953,1500.0,,12,1,0,1567.1938638040572
Guido Pella,1590.2925353732,1552.512348029214,1534.4058890348906,121,133,27,1567.040918405639
Jarkko Nieminen,1569.6047210737263,1587.461127821542,1472.7336883680528,465,205,57,1566.5751664921147
Jared Donaldson,1603.163828540587,1460.2484994568183,1460.8671024701237,84,15,14,1566.563084281799
Amer Delic,1589.8545740964946,1465.379849463433,1485.03827117729,71,10,8,1566.4469598303797
Kamil Majchrzak,1597.381431566062,1502.6475210198464,1495.210244171062,48,16,7,1565.9597290237457
Matthew Ebden,1597.9784841482845,1391.0772795389107,1520.257021272596,147,15,46,1565.8693237568311
Steve Darcis,1566.7915772579715,1580.8869989850975,1535.998350643992,141,75,35,1565.5920665673991
Paul Goldstein,1585.4192200417892,1503.182032474567,1514.2105502065087,148,25,22,1565.3478269418083
Pablo Cuevas,1538.143177287511,1584.6192348817913,1489.3819257704156,155,289,18,1565.103465102613
Lukas Rosol,1551.1061460408207,1603.9593013007382,1486.0931249238836,162,101,21,1565.0952137795389
Sebastian Ofner,1609.3383572326654,1542.1499549091277,1526.9337747391298,35,43,15,1564.9816901647605
Jan Frode Andersen,1446.9289727893265,1604.5420383173916,,10,33,0,1564.7680246691805
Wayne Black,1595.4704406372853,1450.2443220196503,1493.127310086698,118,23,19,1564.532170177601
Martin Verkerk,1520.7001776356758,1599.180574562904,1484.0155481946124,44,63,9,1564.0081095649912
Dominik Hrbaty,1582.196620118274,1539.554265223196,1423.0323602308126,339,248,25,1563.4913554720424
Diego Schwartzman,1569.5497811535824,1566.249121948638,1477.233258483058,234,216,26,1563.009503889503
Marc Rosset,1583.0145268446884,1529.1999627399646,1514.612842968244,271,173,53,1562.9998926886203
Martin Alund,,1566.929200028591,1500.0,0,16,1,1562.9921882622032
Stefan Koubek,1637.102757735006,1501.7280442168387,1410.7154489229506,220,190,27,1562.8511088431685
Julien Boutter,1524.2143082935238,1628.3082928031142,1420.130175927676,59,58,9,1562.7427664547688
Aleksandar Vukic,1578.3038279761372,1470.121916888606,1574.1760835449684,63,13,18,1562.5520807006164
